Language,Font File,Font Size,
Tiếng Việt,AppleGothic,28,
,,,
Credit 1,Credit 2,Credit 3,
Orthez (San),t7ru,,
,,,
Labels,English,Translation,
Game,The Coffin of Andy and Leyley,Quan Tài của Andy và Leyley,
Item,Item,Vật phẩm,
File,File,Hồ sơ,
Save,Save to which file?,Lưu vào hồ sơ nào?,
Load,Load which file?,Tải hồ sơ nào?,
,,,
Menus,Translation,,
New Game,Game Mới,,
Continue,Tiếp Tục,,
Items,Vật Phẩm,,
Options,Lựa Chọn,,
Controls,Điều Khiển,,
Save,Lưu,,
Load,Tải,,
Quit,Thoát Game,,
Language,Ngôn Ngữ,,
Credits,Đóng Góp,,
Quit Game,Thoát Game,,
UI Hints,Gợi ý UI,,
Text Speed,Tốc Độ Chạy Chữ,,
Auto Saves,Lưu Tự Động,,
Fullscreen,Toàn Màn Hình,,
Run Always,Luôn Chạy,,
Run Speed,Tốc Độ Chạy,,
Volume BGM,Âm Lượng BGM,,
Volume SFX,Âm Lượng SFX,,
Vision Room,Tầm nhìn Phòng,,
On,Bật,,
Off,Tắt,,
Slow,Chậm,,
Fast,Nhanh,,
Instant,Tức thì,,
,,,
Speakers,English,Translation,
t1mR4QYN,TV,TV,
S78FX5bH,Dad,Ba,
zrjGb3vm,Guy,Anh chàng nọ,
S56hx4v9,Mom,Mẹ,
kJ8dGf8G,Andy,Andy,
sGxYg2dt,Dude,Ông kia,
xgHCv69n,Lady,Bà chị,
yMpHZNHf,____,____,
LwvlGfpk,? ? ?,? ? ?,
V97ZshW3,Julia,Julia,
l3vbxM7w,Nurse,Y tá,
JXZym03t,Other,Một kẻ khác,
Wp8RfC4G,Phone,Điện thoại,
kR5Fy4cp,Andrew,Andrew,
x86GCl9v,Ashley,Ashley,
QB8rMQ1P,Leader,Tên đầu lĩnh,
hpCv7MK8,Leyley,Leyley,
fVQ7JVw5,Warden,Cai ngục,
Bpw12bP7,Worker,Nhân viên CSKH,
rbqbc8kF, ? ? ? , ? ? ? ,
9mgS7Vv1,? ? ? ?,? ? ? ?,
tm4FZR2h,Cultist,Tín đồ,
bFGq7X3D,Service,Phục vụ,
4HLQggLX,Character,Nhân vật,
fWMKrVlY,Shopkeeper,Nhân viên,
sRHdDgpD,Female voice,Giọng nữ,
H4LRVrf4,Lord Unknown,Đấng Vô Danh,
,,,
Items,English,Translation,
Q64WLbpK,Axe,Cái Rìu,
5YBRrwwM,Gun,Cây Súng,
tfJBRzjg,Key,Chìa Khóa,
WjQC7gwG,Mop,Cây Lau Nhà,
yGgkwhg1,Book,Cuốn Sách,
2Zs8gxt9,Face,Da Mặt,
4RkFhJtS,Head,Đầu,
10LXXCvh,Meat,Thịt,
0f4PLp6B,Rope,Dây Thừng,
fSV70fzr,Blood,Máu,
3G8mmLGy,Bones,Xương ,
WFHLLj60,Heart,Trái Tim,
1hbRHX0Y,Knife,Con Dao,
rJLHX5bx,Limbs,Tay Chân,
VvRgdYRd,Rocks,Đá,
w91Xmr2t,Skull,Hộp Sọ,
4wjVl891,Stick,Que Củi,
4rBsSPWn,Stone,Đá,
Q2TzhbMK,Stool,Ghế Đẩu,
LtDRv2vm,Teeth,Răng,
Cd6nDwJT,Torso,Thân Người,
hgzd22zx,Trash,Rác,
MHFXrtF4,Bottle,Bình,
8c7PT8zM,Candle,Nến,
kJ3gmGrP,Carpet,Thảm,
4K2Mqlr2,Dishes,Chén Dĩa,
zmvJY93F,F2 Key,Phím F2,
T4HRymgB,F3 Key,Phím F3,
rh6j9SC0,F4 Key,Phím F4,
wTqqbQtQ,Flower,Bông Hoa,
GdCP7yNQ,Hammer,Cây Búa,
cryhnR8y,Onions,Củ Hành,
ym5CxvqQ,Organs,Nội Tạng,
mMs4CM6Z,Ashtray,Gạt Tàn,
bFVDpQHJ,Carrots,Cà Rốt,
vDpbX9dl,Cleaver,Dao Phay,
